replicate,saprot_macro_f1,blast_macro_f1,delta_saprot_minus_blast,sampled_groups,sampled_rows
227,0.4373134482268952,0.4329269589500269,0.0043864892768682995,181,316
228,0.38905504019789733,0.4626448157073514,-0.07358977550945406,181,297
229,0.45702324070283407,0.4849256041116506,-0.027902363408816522,181,340
230,0.44438292960460446,0.44875557374690533,-0.004372644142300874,181,293
231,0.46313237228119314,0.49848007488672447,-0.03534770260553133,181,304
232,0.40528418517584885,0.4359283732317261,-0.030644188055877264,181,319
233,0.45220563103051586,0.4662739881754415,-0.014068357144925658,181,311
234,0.4298052222394882,0.49488925802879286,-0.06508403578930466,181,289
235,0.45090538847117795,0.4778794360878842,-0.026974047616706243,181,312
236,0.357299600571593,0.4349095872680778,-0.07760998669648483,181,337
237,0.4840857040724984,0.40440289868861296,0.07968280538388545,181,357
238,0.41712033852396463,0.4181072375899962,-0.0009868990660315546,181,343
239,0.4611073868418489,0.431968791655276,0.029138595186572858,181,349
240,0.39119850914517157,0.5196102117072988,-0.12841170256212725,181,301
241,0.4311745035109381,0.4814814994441475,-0.050306995933209364,181,305
242,0.4944920410110284,0.5109613236565644,-0.016469282645536043,181,293
243,0.4452102123341651,0.4201959744627044,0.025014237871460676,181,347
244,0.43187734730287924,0.45532096949559453,-0.023443622192715285,181,325
245,0.4307803720121878,0.4988092037444627,-0.06802883173227492,181,347
246,0.45226600017794577,0.4771647812282606,-0.024898781050314844,181,309
247,0.4156568121754196,0.47987576365987417,-0.06421895148445456,181,342
248,0.43261091539203134,0.43095859570877165,0.0016523196832596843,181,334
249,0.42840375433394806,0.49560314524219506,-0.067199390908247,181,317
250,0.39736312301003324,0.46585001988859975,-0.06848689687856652,181,338
251,0.36426779532257,0.4441039363127496,-0.0798361409901796,181,333
252,0.4577354279617064,0.46645042122409297,-0.008714993262386561,181,342
253,0.5197240176805027,0.479645636166878,0.040078381513624695,181,300
254,0.4784610091844451,0.4750891845694753,0.0033718246149698206,181,304
255,0.4402085809545345,0.5031004298249624,-0.06289184887042787,181,327
256,0.4849278812342687,0.41578244353606675,0.06914543769820197,181,356
257,0.44109521928887857,0.44840115853836926,-0.007305939249490689,181,318
258,0.5147053406092648,0.497615908011778,0.017089432597486742,181,297
259,0.38354192873580695,0.4304463006982848,-0.046904371962477875,181,331
260,0.4681376662286856,0.4234439128460758,0.04469375338260978,181,349
261,0.4663268524297003,0.4832669665883134,-0.01694011415861313,181,308
262,0.4765672276714518,0.4442369895120913,0.032330238159360536,181,353
263,0.4694709546226945,0.3930938584450595,0.076377096177635,181,319
264,0.40023146727776254,0.47891406918343965,-0.07868260190567711,181,322
265,0.4046431265985489,0.4606685240225613,-0.05602539742401241,181,319
266,0.4750956616627725,0.4475106843242144,0.02758497733855808,181,336
267,0.5187657902779338,0.48896968726731477,0.029796103010619024,181,299
268,0.41319566172685246,0.44478025058343074,-0.03158458885657828,181,346
269,0.3743876847385451,0.4846582111787466,-0.11027052644020147,181,301
270,0.47103871863519015,0.4305720918150281,0.040466626820162055,181,370
271,0.44694957120933326,0.4651100583960503,-0.018160487186717034,181,294
272,0.40914642812727625,0.5153692060130529,-0.10622277788577666,181,290
273,0.5037054447735614,0.43169467787114846,0.07201076690241293,181,337
274,0.45278411128416746,0.4590374961400269,-0.006253384855859467,181,324
275,0.4240117295890097,0.4816696628923888,-0.057657933303379094,181,293
276,0.4989851867088297,0.46838901984231013,0.03059616686651956,181,337
277,0.37420577513705905,0.43556291023761673,-0.06135713510055768,181,362
278,0.376764893786829,0.39649040210369757,-0.01972550831686859,181,352
279,0.37243272188102294,0.44848205857872886,-0.07604933669770592,181,298
280,0.4403573587927295,0.4561499985756936,-0.01579263978296408,181,351
281,0.47284757851661124,0.4087742485200062,0.06407332999660503,181,324
282,0.4867265721316171,0.4698805263793925,0.016846045752224592,181,300
283,0.4856485332293633,0.4928432089944956,-0.007194675765132275,181,333
284,0.44370088336490676,0.43554148230789375,0.008159401057013016,181,334
285,0.4269938899045803,0.44331038192314065,-0.016316492018560336,181,350
286,0.45046543703462455,0.40923974818475906,0.041225688849865494,181,327
287,0.45615236060979575,0.4487901151531667,0.007362245456629057,181,337
288,0.43009665762698507,0.422642042917162,0.00745461470982306,181,355
289,0.4932652278877618,0.46267364908929404,0.030591578798467745,181,313
290,0.48798428884566974,0.5044047376967095,-0.016420448851039715,181,301
